loan_id,customer_id,loan_type,amount,interest_rate,term_months,issue_date,branch,status,risk_score,full_name,gender,birth_date,city,segment,registration_date
85,734,Потребительский,71000.0,20.92,24,2024-02-24,Отделение №15,Активен,0.422,Соболев Евдоким Валерьянович,M,1957-11-22,Санкт-Петербург,Retail,2024-02-24
86,187,Кредитная карта,270000.0,21.57,12,2024-12-06,Отделение №2,Закрыт,0.489,Вадим Давидович Одинцов,M,2003-02-23,Самара,Retail,2024-12-06
87,762,Автокредит,576000.0,15.35,24,2024-10-13,Отделение №8,Активен,0.31,Эмиль Августович Цветков,M,1968-10-18,Уфа,Business,2024-10-13
88,650,Кредитная карта,241000.0,8.94,24,2025-05-25,Отделение №11,Активен,0.139,Авксентий Исидорович Медведев,M,1970-11-02,Екатеринбург,Retail,2023-09-08
89,695,Ипотека,6499000.0,22.44,300,2024-09-27,Отделение №13,Активен,0.325,Борисова Лидия Аркадьевна,F,1956-10-24,Ростов-на-Дону,Retail,2024-09-27
90,346,Автокредит,2021000.0,23.06,60,2023-12-17,Отделение №1,Активен,0.339,Арсений Фокич Петров,M,1970-12-07,Новосибирск,Retail,2023-12-17
91,628,Кредитная карта,270000.0,18.38,36,2023-10-31,Отделение №12,Активен,0.866,Прасковья Николаевна Родионова,F,1992-03-02,Казань,Retail,2023-10-31
92,470,Потребительский,523000.0,18.37,36,2025-02-23,Отделение №2,Активен,0.644,Коновалов Герман Елизарович,M,1965-06-22,Санкт-Петербург,Retail,2023-10-16
93,534,Потребительский,514000.0,16.1,12,2025-03-13,Отделение №9,Активен,0.751,Щербакова Глафира Валентиновна,F,1969-08-28,Челябинск,Retail,2024-11-21
94,782,Кредитная карта,62000.0,24.21,36,2023-04-23,Отделение №4,Активен,0.275,Ермаков Ратмир Викторович,M,1972-02-16,Москва,Retail,2023-04-23
95,437,Потребительский,579000.0,21.35,48,2023-06-21,Отделение №7,Активен,0.607,Русаков Анатолий Тихонович,M,1996-08-24,Самара,Premium,2023-06-21
96,33,Автокредит,1678000.0,14.54,24,2023-11-28,Отделение №14,Закрыт,0.415,Синклитикия Владимировна Гусева,F,1989-12-24,Казань,Business,2022-01-07
97,142,Автокредит,1393000.0,24.53,24,2022-08-23,Отделение №5,Закрыт,0.542,Любосмысл Гавриилович Мартынов,M,1966-09-14,Нижний Новгород,Retail,2022-04-13
98,178,Потребительский,242000.0,12.15,12,2024-01-10,Отделение №3,Закрыт,0.407,Агафонов Василий Владиславович,M,1972-10-27,Москва,Retail,2024-01-10
99,468,Потребительский,771000.0,19.62,24,2023-10-03,Отделение №2,Закрыт,0.298,Авдей Адамович Петухов,M,1979-10-01,Нижний Новгород,Business,2023-10-03
100,793,Потребительский,360000.0,13.41,36,2023-06-13,Отделение №2,Активен,0.828,Галкин Эдуард Игоревич,M,1978-03-23,Ростов-на-Дону,Retail,2023-02-20
101,48,Потребительский,230000.0,15.86,24,2024-10-06,Отделение №2,Активен,0.504,Антонина Альбертовна Кулагина,F,2007-08-21,Казань,Retail,2022-05-26
102,719,Потребительский,289000.0,15.41,48,2024-10-10,Отделение №4,Активен,0.407,Тимур Евсеевич Нестеров,M,1970-04-24,Казань,Retail,2024-10-10
103,299,Кредитная карта,35000.0,18.92,36,2025-11-06,Отделение №9,Активен,0.246,Савина Таисия Аскольдовна,F,1979-01-22,Самара,Retail,2025-11-06
104,144,Вексель,715000.0,8.04,12,2024-07-02,Отделение №4,Закрыт,0.636,Тамара Андреевна Михеева,F,2004-12-21,Санкт-Петербург,Retail,2024-05-13
105,443,Вексель,798000.0,16.39,6,2023-09-07,Отделение №15,Закрыт,0.424,Ширяева Кира Феликсовна,F,1990-09-28,Новосибирск,Business,2023-09-07
106,51,Автокредит,509000.0,11.82,60,2025-06-25,Отделение №1,Активен,0.972,Колесников Капитон Филиппович,M,1970-07-04,Челябинск,Retail,2022-07-13
107,485,Потребительский,741000.0,11.12,36,2025-06-30,Отделение №6,Активен,0.68,Федорова Нонна Максимовна,F,1960-06-25,Санкт-Петербург,Premium,2025-06-30
108,50,Вексель,1142000.0,9.47,9,2023-05-13,Отделение №2,Закрыт,0.534,Князева Милица Аркадьевна,F,1964-03-26,Челябинск,Premium,2023-05-13
109,683,Потребительский,346000.0,19.84,12,2025-05-07,Отделение №15,Активен,0.999,Шарова Пелагея Макаровна,F,2003-02-18,Челябинск,Retail,2025-05-07
110,166,Ипотека,8104000.0,23.9,240,2025-10-28,Отделение №13,Активен,0.635,Исакова Нонна Эльдаровна,F,1980-02-10,Казань,Business,2023-07-27
111,574,Вексель,1438000.0,10.38,9,2024-04-26,Отделение №6,Закрыт,0.959,Герасимов Севастьян Всеволодович,M,1984-07-12,Москва,Retail,2024-04-26
112,788,Потребительский,569000.0,15.27,12,2025-05-31,Отделение №11,Активен,0.901,Лукин Евстигней Марсович,M,2005-01-28,Новосибирск,Retail,2025-04-04
113,463,Потребительский,467000.0,16.4,48,2025-06-19,Отделение №11,Активен,0.787,Семенова Ангелина Руслановна,F,1957-04-28,Самара,Retail,2025-06-19
114,633,Вексель,2739000.0,8.77,12,2025-10-08,Отделение №7,Активен,0.972,Изяслав Антонович Николаев,M,1960-02-27,Новосибирск,Premium,2024-02-18
115,590,Вексель,1854000.0,24.6,6,2025-11-28,Отделение №6,Активен,0.125,Раиса Болеславовна Кузьмина,F,2005-09-26,Уфа,Retail,2023-08-03
116,359,Кредитная карта,150000.0,20.45,12,2024-10-23,Отделение №12,Закрыт,0.681,Галина Алексеевна Баранова,F,1999-10-21,Москва,Retail,2024-10-23
117,517,Ипотека,2900000.0,10.81,240,2023-05-12,Отделение №6,Активен,0.494,Стрелков Климент Александрович,M,1964-12-31,Уфа,Retail,2023-05-12
118,580,Потребительский,420000.0,10.11,24,2024-08-06,Отделение №7,Активен,0.821,Давыд Фокич Воронцов,M,1994-04-14,Уфа,Business,2024-08-06
119,694,Потребительский,258000.0,16.65,48,2024-04-17,Отделение №10,Активен,0.66,Суханова Эмилия Геннадьевна,F,1997-08-10,Челябинск,Premium,2024-04-17
120,94,Вексель,3055000.0,17.32,6,2023-11-12,Отделение №3,Закрыт,0.746,Хохлов Август Ефимьевич,M,1970-08-05,Челябинск,Premium,2023-11-12
121,497,Потребительский,477000.0,19.91,24,2024-12-07,Отделение №14,Активен,0.274,Лазарева Лора Евгеньевна,F,1975-06-05,Ростов-на-Дону,Business,2023-06-28
122,138,Вексель,4961000.0,16.81,9,2025-10-26,Отделение №7,Активен,0.454,Ираида Юрьевна Константинова,F,2003-06-30,Челябинск,Retail,2022-03-01
123,784,Автокредит,2852000.0,14.46,24,2023-10-24,Отделение №5,Закрыт,0.995,Калашникова Анастасия Александровна,F,1979-03-07,Екатеринбург,Retail,2022-08-01
124,360,Потребительский,439000.0,16.02,48,2024-01-11,Отделение №12,Просрочен,0.043,Нинель Антоновна Гусева,F,1959-03-03,Нижний Новгород,Premium,2022-07-31
125,792,Потребительский,258000.0,14.76,48,2024-12-26,Отделение №4,Просрочен,0.005,Бирюкова Алина Кузьминична,F,2004-12-29,Екатеринбург,Retail,2023-10-14
126,256,Потребительский,710000.0,24.5,12,2023-04-08,Отделение №2,Закрыт,0.424,Елисеева Нина Болеславовна,F,1996-11-30,Москва,Retail,2022-01-17
127,263,Кредитная карта,83000.0,7.66,24,2023-09-29,Отделение №1,Закрыт,0.625,Максим Валерьевич Тихонов,M,1974-01-22,Уфа,Retail,2023-02-16
128,325,Ипотека,10081000.0,11.05,240,2023-05-28,Отделение №6,Активен,0.474,Кондратий Архипович Фадеев,M,1964-01-04,Москва,Premium,2022-11-19
129,455,Вексель,4126000.0,20.77,6,2024-11-28,Отделение №13,Закрыт,0.62,Воронцова Валерия Аркадьевна,F,1998-10-08,Санкт-Петербург,Business,2024-11-28
130,278,Потребительский,385000.0,24.43,12,2025-04-17,Отделение №7,Активен,0.917,Ларионова Феврония Рудольфовна,F,1983-01-28,Новосибирск,Premium,2025-04-17
131,338,Потребительский,686000.0,7.64,12,2025-03-25,Отделение №1,Активен,0.802,Дроздова Наина Геннадиевна,F,1990-03-22,Челябинск,Retail,2025-03-25
132,194,Потребительский,520000.0,18.97,12,2025-12-10,Отделение №5,Активен,0.559,Пелагея Владиславовна Третьякова,F,1983-09-06,Санкт-Петербург,Business,2025-12-10
133,789,Вексель,2068000.0,22.41,12,2023-04-23,Отделение №10,Закрыт,0.787,Светлана Георгиевна Соколова,F,1990-11-12,Москва,Retail,2022-06-03
134,359,Потребительский,338000.0,17.89,48,2025-06-24,Отделение №11,Активен,0.34,Галина Алексеевна Баранова,F,1999-10-21,Москва,Retail,2024-10-23
135,570,Вексель,2325000.0,10.04,9,2025-04-18,Отделение №10,Активен,0.103,Андреев Милен Ильич,M,1999-08-22,Екатеринбург,Retail,2022-04-01
136,262,Вексель,3005000.0,8.82,6,2025-03-19,Отделение №6,Закрыт,0.509,Титов Федор Ануфриевич,M,1986-03-03,Челябинск,Retail,2023-08-28
137,555,Ипотека,9246000.0,10.97,300,2025-03-30,Отделение №1,Активен,0.797,Дементьев Спартак Гурьевич,M,1978-11-08,Челябинск,Retail,2025-03-30
138,768,Потребительский,488000.0,17.24,36,2023-09-30,Отделение №3,Активен,0.541,Кулакова Клавдия Георгиевна,F,1963-06-21,Санкт-Петербург,Retail,2022-11-19
139,738,Потребительский,282000.0,13.29,36,2024-06-20,Отделение №10,Просрочен,0.008,Кирилл Фокич Фомичев,M,2001-02-03,Екатеринбург,Retail,2024-06-20
140,193,Вексель,809000.0,21.57,6,2024-11-04,Отделение №1,Закрыт,0.559,Смирнова Ия Кузьминична,F,1999-03-23,Казань,Retail,2023-08-20
141,425,Ипотека,3954000.0,23.22,180,2025-11-13,Отделение №6,Активен,0.785,Натан Тихонович Зыков,M,1973-08-15,Самара,Retail,2025-11-13
142,310,Потребительский,407000.0,19.24,48,2025-05-13,Отделение №10,Активен,0.852,Лора Владимировна Агафонова,F,1992-03-21,Нижний Новгород,Premium,2022-07-17
143,182,Кредитная карта,196000.0,9.49,24,2024-06-21,Отделение №13,Активен,0.454,София Рубеновна Тихонова,F,1958-06-29,Москва,Retail,2024-06-21
144,478,Кредитная карта,164000.0,10.6,12,2025-08-01,Отделение №10,Активен,0.23,г-н Тихонов Ладимир Елизарович,M,1958-11-04,Москва,Retail,2025-04-09
145,608,Потребительский,411000.0,10.28,36,2024-02-09,Отделение №1,Активен,0.184,Соболева Ольга Анатольевна,F,1962-07-29,Казань,Retail,2022-01-25
146,176,Ипотека,2737000.0,8.62,120,2025-02-10,Отделение №4,Активен,0.291,Михеев Пров Елисеевич,M,1965-02-10,Казань,Premium,2023-03-20
147,633,Автокредит,2773000.0,24.45,48,2024-02-18,Отделение №5,Активен,0.199,Изяслав Антонович Николаев,M,1960-02-27,Новосибирск,Premium,2024-02-18
148,621,Потребительский,714000.0,22.09,24,2023-11-27,Отделение №4,Закрыт,0.246,Никифор Ерофеевич Юдин,M,1958-07-06,Нижний Новгород,Business,2023-01-03
149,491,Потребительский,682000.0,21.8,12,2023-11-03,Отделение №11,Закрыт,0.137,Елизар Тихонович Фомичев,M,1968-02-13,Нижний Новгород,Business,2023-11-03
150,253,Вексель,644000.0,14.89,6,2024-02-27,Отделение №6,Закрыт,0.37,Прокл Артёмович Мясников,M,1959-11-16,Санкт-Петербург,Business,2024-02-27
151,231,Вексель,4712000.0,7.7,12,2025-12-27,Отделение №15,Активен,0.144,Тамара Леонидовна Фомичева,F,1987-05-26,Новосибирск,Premium,2025-09-21
152,208,Потребительский,192000.0,13.39,48,2025-11-23,Отделение №11,Активен,0.6,Алина Леонидовна Евсеева,F,1958-08-04,Новосибирск,Premium,2023-10-20
153,394,Потребительский,85000.0,11.91,24,2025-01-01,Отделение №4,Активен,0.149,Горбачева Наина Ефимовна,F,2005-09-25,Москва,Retail,2022-06-17
154,631,Потребительский,647000.0,24.32,24,2024-11-06,Отделение №4,Активен,0.886,Большакова Марфа Эдуардовна,F,1988-08-28,Казань,Premium,2022-06-25
155,499,Вексель,3945000.0,15.86,3,2022-12-09,Отделение №11,Закрыт,0.751,Владимирова Пелагея Робертовна,F,1964-06-03,Екатеринбург,Premium,2022-10-30
156,333,Вексель,1934000.0,12.42,12,2023-06-08,Отделение №12,Закрыт,0.374,Трофим Федосьевич Макаров,M,1996-01-13,Санкт-Петербург,Retail,2023-06-08
157,160,Ипотека,11558000.0,17.19,300,2025-06-15,Отделение №13,Активен,0.638,Клавдия Артемовна Крылова,F,1961-10-31,Уфа,Premium,2025-06-15
158,279,Автокредит,495000.0,14.82,36,2025-09-03,Отделение №4,Активен,0.234,Полякова Марфа Эльдаровна,F,1958-07-10,Самара,Retail,2025-09-03
159,365,Потребительский,717000.0,11.18,24,2025-07-16,Отделение №13,Дефолт,0.085,Михеев Никанор Валерианович,M,1969-04-14,Санкт-Петербург,Retail,2025-07-16
160,390,Потребительский,383000.0,17.24,36,2024-07-09,Отделение №10,Активен,0.465,Баранова Лариса Кузьминична,F,1993-11-07,Новосибирск,Business,2024-07-09
161,290,Потребительский,388000.0,13.26,48,2025-01-11,Отделение №5,Активен,0.498,Панфилов Викентий Яковлевич,M,1965-10-03,Новосибирск,Retail,2025-01-11
162,661,Ипотека,3796000.0,18.37,180,2025-01-18,Отделение №2,Активен,0.359,Марфа Леонидовна Филиппова,F,1979-03-21,Нижний Новгород,Retail,2025-01-18
